Assembly Accession	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCF_003704035.1	Primary Assembly	22	23300831	44	CM010900.2	Chromosome		NC_056029.1	assembled-molecule	54709200			chr22
GCF_003704035.1	Primary Assembly	23	21555653	48	CM010901.2	Chromosome		NC_056030.1	assembled-molecule	47673962			chr23
GCF_003704035.1	Primary Assembly	X	49113783	39	CM010902.2	Chromosome		NC_056031.1	assembled-molecule	134369076			chrX
GCF_003704035.1	Primary Assembly	Un			ML112627.1	Chromosome		NW_024590016.1	unplaced-scaffold	803378			scaffold00291
GCF_003704035.1	Primary Assembly	Un			ML112628.1	Chromosome		NW_024590017.1	unplaced-scaffold	694148			scaffold00298
GCF_003704035.1	Primary Assembly	Un			ML112629.1	Chromosome		NW_024590018.1	unplaced-scaffold	654939			scaffold00302
GCF_003704035.1	Primary Assembly	Un			ML112630.1	Chromosome		NW_024590019.1	unplaced-scaffold	667483			scaffold00305
GCF_003704035.1	Primary Assembly	Un			ML112631.1	Chromosome		NW_024590020.1	unplaced-scaffold	581812			scaffold00313
GCF_003704035.1	Primary Assembly	Un			ML112632.1	Chromosome		NW_024590021.1	unplaced-scaffold	558575			scaffold00314
GCF_003704035.1	Primary Assembly	Un			ML112633.1	Chromosome		NW_024590022.1	unplaced-scaffold	534871			scaffold00317
GCF_003704035.1	Primary Assembly	Un			ML112634.1	Chromosome		NW_024590023.1	unplaced-scaffold	504908			scaffold00321
GCF_003704035.1	Primary Assembly	Un			ML112635.1	Chromosome		NW_024590024.1	unplaced-scaffold	470796			scaffold00324
GCF_003704035.1	Primary Assembly	Un			ML112636.1	Chromosome		NW_024590025.1	unplaced-scaffold	443730			scaffold00327
GCF_003704035.1	Primary Assembly	Un			ML112637.1	Chromosome		NW_024590026.1	unplaced-scaffold	432157			scaffold00331
GCF_003704035.1	Primary Assembly	Un			ML112638.1	Chromosome		NW_024590027.1	unplaced-scaffold	422299			scaffold00334
GCF_003704035.1	Primary Assembly	Un			ML112639.1	Chromosome		NW_024590028.1	unplaced-scaffold	422768			scaffold00336
GCF_003704035.1	Primary Assembly	Un			ML112640.1	Chromosome		NW_024590029.1	unplaced-scaffold	368475			scaffold00343
GCF_003704035.1	Primary Assembly	Un			ML112641.1	Chromosome		NW_024590030.1	unplaced-scaffold	354326			scaffold00345
GCF_003704035.1	Primary Assembly	Un			ML112642.1	Chromosome		NW_024590031.1	unplaced-scaffold	356875			scaffold00347
GCF_003704035.1	Primary Assembly	Un			ML112643.1	Chromosome		NW_024590032.1	unplaced-scaffold	325376			scaffold00349
GCF_003704035.1	Primary Assembly	Un			ML112644.1	Chromosome		NW_024590033.1	unplaced-scaffold	315625			scaffold00351
GCF_003704035.1	Primary Assembly	Un			ML112645.1	Chromosome		NW_024590034.1	unplaced-scaffold	318942			scaffold00352
GCF_003704035.1	Primary Assembly	Un			ML112646.1	Chromosome		NW_024590035.1	unplaced-scaffold	309535			scaffold00355
GCF_003704035.1	Primary Assembly	Un			ML112647.1	Chromosome		NW_024590036.1	unplaced-scaffold	294887			scaffold00357
GCF_003704035.1	Primary Assembly	Un			ML112648.1	Chromosome		NW_024590037.1	unplaced-scaffold	295045			scaffold00360
GCF_003704035.1	Primary Assembly	Un			ML112649.1	Chromosome		NW_024590038.1	unplaced-scaffold	308303			scaffold00361
GCF_003704035.1	Primary Assembly	Un			ML112650.1	Chromosome		NW_024590039.1	unplaced-scaffold	286367			scaffold00362
GCF_003704035.1	Primary Assembly	Un			ML112651.1	Chromosome		NW_024590040.1	unplaced-scaffold	268884			scaffold00364
GCF_003704035.1	Primary Assembly	Un			ML112652.1	Chromosome		NW_024590041.1	unplaced-scaffold	268717			scaffold00367
GCF_003704035.1	Primary Assembly	Un			ML112653.1	Chromosome		NW_024590042.1	unplaced-scaffold	268686			scaffold00368
GCF_003704035.1	Primary Assembly	Un			ML112654.1	Chromosome		NW_024590043.1	unplaced-scaffold	281267			scaffold00371
GCF_003704035.1	Primary Assembly	Un			ML112655.1	Chromosome		NW_024590044.1	unplaced-scaffold	268275			scaffold00372
GCF_003704035.1	Primary Assembly	Un			ML112656.1	Chromosome		NW_024590045.1	unplaced-scaffold	251416			scaffold00375
GCF_003704035.1	Primary Assembly	Un			ML112657.1	Chromosome		NW_024590046.1	unplaced-scaffold	206064			scaffold00377
GCF_003704035.1	Primary Assembly	Un			ML112658.1	Chromosome		NW_024590047.1	unplaced-scaffold	245697			scaffold00378
GCF_003704035.1	Primary Assembly	Un			ML112659.1	Chromosome		NW_024590048.1	unplaced-scaffold	241135			scaffold00382
GCF_003704035.1	Primary Assembly	Un			ML112660.1	Chromosome		NW_024590049.1	unplaced-scaffold	248518			scaffold00383
GCF_003704035.1	Primary Assembly	Un			ML112661.1	Chromosome		NW_024590050.1	unplaced-scaffold	226418			scaffold00388
GCF_003704035.1	Primary Assembly	Un			ML112662.1	Chromosome		NW_024590051.1	unplaced-scaffold	228105			scaffold00389
GCF_003704035.1	Primary Assembly	Un			ML112663.1	Chromosome		NW_024590052.1	unplaced-scaffold	217107			scaffold00391
GCF_003704035.1	Primary Assembly	Un			ML112664.1	Chromosome		NW_024590053.1	unplaced-scaffold	209765			scaffold00393
GCF_003704035.1	Primary Assembly	Un			ML112665.1	Chromosome		NW_024590054.1	unplaced-scaffold	214403			scaffold00394
GCF_003704035.1	Primary Assembly	Un			ML112666.1	Chromosome		NW_024590055.1	unplaced-scaffold	218688			scaffold00395
GCF_003704035.1	Primary Assembly	Un			ML112667.1	Chromosome		NW_024590056.1	unplaced-scaffold	202346			scaffold00396
GCF_003704035.1	Primary Assembly	Un			ML112668.1	Chromosome		NW_024590057.1	unplaced-scaffold	199098			scaffold00397
GCF_003704035.1	Primary Assembly	Un			ML112669.1	Chromosome		NW_024590058.1	unplaced-scaffold	189669			scaffold00401
GCF_003704035.1	Primary Assembly	Un			ML112670.1	Chromosome		NW_024590059.1	unplaced-scaffold	186263			scaffold00402
GCF_003704035.1	Primary Assembly	Un			ML112671.1	Chromosome		NW_024590060.1	unplaced-scaffold	171970			scaffold00406
GCF_003704035.1	Primary Assembly	Un			ML112672.1	Chromosome		NW_024590061.1	unplaced-scaffold	168729			scaffold00407
GCF_003704035.1	Primary Assembly	Un			ML112673.1	Chromosome		NW_024590062.1	unplaced-scaffold	172323			scaffold00408
GCF_003704035.1	Primary Assembly	Un			ML112674.1	Chromosome		NW_024590063.1	unplaced-scaffold	169782			scaffold00409
GCF_003704035.1	Primary Assembly	Un			ML112675.1	Chromosome		NW_024590064.1	unplaced-scaffold	166022			scaffold00410
GCF_003704035.1	Primary Assembly	Un			ML112676.1	Chromosome		NW_024590065.1	unplaced-scaffold	173411			scaffold00411
GCF_003704035.1	Primary Assembly	Un			ML112677.1	Chromosome		NW_024590066.1	unplaced-scaffold	167030			scaffold00412
GCF_003704035.1	Primary Assembly	Un			ML112678.1	Chromosome		NW_024590067.1	unplaced-scaffold	162995			scaffold00413
GCF_003704035.1	Primary Assembly	Un			ML112679.1	Chromosome		NW_024590068.1	unplaced-scaffold	160971			scaffold00414
GCF_003704035.1	Primary Assembly	Un			ML112680.1	Chromosome		NW_024590069.1	unplaced-scaffold	159652			scaffold00416
GCF_003704035.1	Primary Assembly	Un			ML112681.1	Chromosome		NW_024590070.1	unplaced-scaffold	158819			scaffold00417
GCF_003704035.1	Primary Assembly	Un			ML112682.1	Chromosome		NW_024590071.1	unplaced-scaffold	156036			scaffold00418
GCF_003704035.1	Primary Assembly	Un			ML112683.1	Chromosome		NW_024590072.1	unplaced-scaffold	151713			scaffold00419
GCF_003704035.1	Primary Assembly	Un			ML112684.1	Chromosome		NW_024590073.1	unplaced-scaffold	149513			scaffold00420
GCF_003704035.1	Primary Assembly	Un			ML112685.1	Chromosome		NW_024590074.1	unplaced-scaffold	156815			scaffold00421
GCF_003704035.1	Primary Assembly	Un			ML112686.1	Chromosome		NW_024590075.1	unplaced-scaffold	149026			scaffold00423
GCF_003704035.1	Primary Assembly	Un			ML112687.1	Chromosome		NW_024590076.1	unplaced-scaffold	144624			scaffold00424
GCF_003704035.1	Primary Assembly	Un			ML112688.1	Chromosome		NW_024590077.1	unplaced-scaffold	139912			scaffold00426
GCF_003704035.1	Primary Assembly	Un			ML112689.1	Chromosome		NW_024590078.1	unplaced-scaffold	122114			scaffold00429
GCF_003704035.1	Primary Assembly	Un			ML112690.1	Chromosome		NW_024590079.1	unplaced-scaffold	131597			scaffold00431
GCF_003704035.1	Primary Assembly	Un			ML112691.1	Chromosome		NW_024590080.1	unplaced-scaffold	132593			scaffold00433
GCF_003704035.1	Primary Assembly	Un			ML112692.1	Chromosome		NW_024590081.1	unplaced-scaffold	139657			scaffold00435
GCF_003704035.1	Primary Assembly	Un			ML112693.1	Chromosome		NW_024590082.1	unplaced-scaffold	128296			scaffold00436
GCF_003704035.1	Primary Assembly	Un			ML112694.1	Chromosome		NW_024590083.1	unplaced-scaffold	133969			scaffold00437
GCF_003704035.1	Primary Assembly	Un			ML112695.1	Chromosome		NW_024590084.1	unplaced-scaffold	124030			scaffold00439
GCF_003704035.1	Primary Assembly	Un			ML112696.1	Chromosome		NW_024590085.1	unplaced-scaffold	124829			scaffold00440
GCF_003704035.1	Primary Assembly	Un			ML112697.1	Chromosome		NW_024590086.1	unplaced-scaffold	122580			scaffold00445
GCF_003704035.1	Primary Assembly	Un			ML112698.1	Chromosome		NW_024590087.1	unplaced-scaffold	117215			scaffold00446
GCF_003704035.1	Primary Assembly	Un			ML112699.1	Chromosome		NW_024590088.1	unplaced-scaffold	116184			scaffold00447
GCF_003704035.1	Primary Assembly	Un			ML112700.1	Chromosome		NW_024590089.1	unplaced-scaffold	115613			scaffold00448
GCF_003704035.1	Primary Assembly	Un			ML112701.1	Chromosome		NW_024590090.1	unplaced-scaffold	112791			scaffold00449
GCF_003704035.1	Primary Assembly	Un			ML112702.1	Chromosome		NW_024590091.1	unplaced-scaffold	116600			scaffold00450
GCF_003704035.1	Primary Assembly	Un			ML112703.1	Chromosome		NW_024590092.1	unplaced-scaffold	111258			scaffold00451
GCF_003704035.1	Primary Assembly	Un			ML112704.1	Chromosome		NW_024590093.1	unplaced-scaffold	107849			scaffold00452
GCF_003704035.1	Primary Assembly	Un			ML112705.1	Chromosome		NW_024590094.1	unplaced-scaffold	114404			scaffold00453
GCF_003704035.1	Primary Assembly	Un			ML112706.1	Chromosome		NW_024590095.1	unplaced-scaffold	108563			scaffold00454
GCF_003704035.1	Primary Assembly	Un			ML112707.1	Chromosome		NW_024590096.1	unplaced-scaffold	117238			scaffold00455
GCF_003704035.1	Primary Assembly	Un			ML112708.1	Chromosome		NW_024590097.1	unplaced-scaffold	106022			scaffold00457
GCF_003704035.1	Primary Assembly	Un			ML112709.1	Chromosome		NW_024590098.1	unplaced-scaffold	103396			scaffold00461
GCF_003704035.1	Primary Assembly	Un			ML112710.1	Chromosome		NW_024590099.1	unplaced-scaffold	101835			scaffold00463
GCF_003704035.1	Primary Assembly	Un			ML112711.1	Chromosome		NW_024590100.1	unplaced-scaffold	104372			scaffold00464
GCF_003704035.1	Primary Assembly	Un			ML112712.1	Chromosome		NW_024590101.1	unplaced-scaffold	104887			scaffold00465
GCF_003704035.1	Primary Assembly	Un			ML112713.1	Chromosome		NW_024590102.1	unplaced-scaffold	111700			scaffold00467
GCF_003704035.1	Primary Assembly	Un			ML112714.1	Chromosome		NW_024590103.1	unplaced-scaffold	98398			scaffold00468
GCF_003704035.1	Primary Assembly	Un			ML112715.1	Chromosome		NW_024590104.1	unplaced-scaffold	101616			scaffold00469
GCF_003704035.1	Primary Assembly	Un			ML112716.1	Chromosome		NW_024590105.1	unplaced-scaffold	104942			scaffold00470
GCF_003704035.1	Primary Assembly	Un			ML112717.1	Chromosome		NW_024590106.1	unplaced-scaffold	99945			scaffold00471
GCF_003704035.1	Primary Assembly	Un			ML112718.1	Chromosome		NW_024590107.1	unplaced-scaffold	100709			scaffold00472
GCF_003704035.1	Primary Assembly	Un			ML112719.1	Chromosome		NW_024590108.1	unplaced-scaffold	103293			scaffold00473
GCF_003704035.1	Primary Assembly	Un			ML112720.1	Chromosome		NW_024590109.1	unplaced-scaffold	109526			scaffold00474
GCF_003704035.1	Primary Assembly	Un			ML112721.1	Chromosome		NW_024590110.1	unplaced-scaffold	102572			scaffold00475
GCF_003704035.1	Primary Assembly	Un			ML112722.1	Chromosome		NW_024590111.1	unplaced-scaffold	99543			scaffold00476
GCF_003704035.1	Primary Assembly	Un			ML112723.1	Chromosome		NW_024590112.1	unplaced-scaffold	104282			scaffold00477
GCF_003704035.1	Primary Assembly	Un			ML112724.1	Chromosome		NW_024590113.1	unplaced-scaffold	90582			scaffold00478
GCF_003704035.1	Primary Assembly	Un			ML112725.1	Chromosome		NW_024590114.1	unplaced-scaffold	97975			scaffold00479
GCF_003704035.1	Primary Assembly	Un			ML112726.1	Chromosome		NW_024590115.1	unplaced-scaffold	96435			scaffold00480
GCF_003704035.1	Primary Assembly	Un			ML112727.1	Chromosome		NW_024590116.1	unplaced-scaffold	99801			scaffold00481
GCF_003704035.1	Primary Assembly	Un			ML112728.1	Chromosome		NW_024590117.1	unplaced-scaffold	95824			scaffold00482
GCF_003704035.1	Primary Assembly	Un			ML112729.1	Chromosome		NW_024590118.1	unplaced-scaffold	102625			scaffold00483
GCF_003704035.1	Primary Assembly	Un			ML112730.1	Chromosome		NW_024590119.1	unplaced-scaffold	100344			scaffold00484
GCF_003704035.1	Primary Assembly	Un			ML112731.1	Chromosome		NW_024590120.1	unplaced-scaffold	106104			scaffold00485
GCF_003704035.1	Primary Assembly	Un			ML112732.1	Chromosome		NW_024590121.1	unplaced-scaffold	94052			scaffold00486
GCF_003704035.1	Primary Assembly	Un			ML112733.1	Chromosome		NW_024590122.1	unplaced-scaffold	92005			scaffold00487
GCF_003704035.1	Primary Assembly	Un			ML112734.1	Chromosome		NW_024590123.1	unplaced-scaffold	98831			scaffold00488
GCF_003704035.1	Primary Assembly	Un			ML112735.1	Chromosome		NW_024590124.1	unplaced-scaffold	91764			scaffold00489
GCF_003704035.1	Primary Assembly	Un			ML112736.1	Chromosome		NW_024590125.1	unplaced-scaffold	92514			scaffold00490
GCF_003704035.1	Primary Assembly	Un			ML112737.1	Chromosome		NW_024590126.1	unplaced-scaffold	90563			scaffold00491
GCF_003704035.1	Primary Assembly	Un			ML112738.1	Chromosome		NW_024590127.1	unplaced-scaffold	89582			scaffold00493
GCF_003704035.1	Primary Assembly	Un			ML112739.1	Chromosome		NW_024590128.1	unplaced-scaffold	89135			scaffold00494
GCF_003704035.1	Primary Assembly	Un			ML112740.1	Chromosome		NW_024590129.1	unplaced-scaffold	116512			scaffold00496
GCF_003704035.1	Primary Assembly	Un			ML112741.1	Chromosome		NW_024590130.1	unplaced-scaffold	90619			scaffold00497
GCF_003704035.1	Primary Assembly	Un			ML112742.1	Chromosome		NW_024590131.1	unplaced-scaffold	86599			scaffold00498
GCF_003704035.1	Primary Assembly	Un			ML112743.1	Chromosome		NW_024590132.1	unplaced-scaffold	85417			scaffold00501
GCF_003704035.1	Primary Assembly	Un			ML112744.1	Chromosome		NW_024590133.1	unplaced-scaffold	87473			scaffold00502
GCF_003704035.1	Primary Assembly	Un			ML112745.1	Chromosome		NW_024590134.1	unplaced-scaffold	86602			scaffold00503
GCF_003704035.1	Primary Assembly	Un			ML112746.1	Chromosome		NW_024590135.1	unplaced-scaffold	91638			scaffold00504
GCF_003704035.1	Primary Assembly	Un			ML112747.1	Chromosome		NW_024590136.1	unplaced-scaffold	84876			scaffold00506
GCF_003704035.1	Primary Assembly	Un			ML112748.1	Chromosome		NW_024590137.1	unplaced-scaffold	82715			scaffold00509
GCF_003704035.1	Primary Assembly	Un			ML112749.1	Chromosome		NW_024590138.1	unplaced-scaffold	82486			scaffold00510
GCF_003704035.1	Primary Assembly	Un			ML112750.1	Chromosome		NW_024590139.1	unplaced-scaffold	80052			scaffold00511
GCF_003704035.1	Primary Assembly	Un			ML112751.1	Chromosome		NW_024590140.1	unplaced-scaffold	79474			scaffold00512
GCF_003704035.1	Primary Assembly	Un			ML112752.1	Chromosome		NW_024590141.1	unplaced-scaffold	82561			scaffold00513
GCF_003704035.1	Primary Assembly	Un			ML112753.1	Chromosome		NW_024590142.1	unplaced-scaffold	78460			scaffold00515
GCF_003704035.1	Primary Assembly	Un			ML112754.1	Chromosome		NW_024590143.1	unplaced-scaffold	75820			scaffold00517
GCF_003704035.1	Primary Assembly	Un			ML112755.1	Chromosome		NW_024590144.1	unplaced-scaffold	87940			scaffold00518
GCF_003704035.1	Primary Assembly	Un			ML112756.1	Chromosome		NW_024590145.1	unplaced-scaffold	77384			scaffold00519
GCF_003704035.1	Primary Assembly	Un			ML112757.1	Chromosome		NW_024590146.1	unplaced-scaffold	77524			scaffold00520
GCF_003704035.1	Primary Assembly	Un			ML112758.1	Chromosome		NW_024590147.1	unplaced-scaffold	80362			scaffold00521
GCF_003704035.1	Primary Assembly	Un			ML112759.1	Chromosome		NW_024590148.1	unplaced-scaffold	77470			scaffold00522
GCF_003704035.1	Primary Assembly	Un			ML112760.1	Chromosome		NW_024590149.1	unplaced-scaffold	76739			scaffold00523
GCF_003704035.1	Primary Assembly	Un			ML112761.1	Chromosome		NW_024590150.1	unplaced-scaffold	79038			scaffold00524
GCF_003704035.1	Primary Assembly	Un			ML112762.1	Chromosome		NW_024590151.1	unplaced-scaffold	76058			scaffold00525
GCF_003704035.1	Primary Assembly	Un			ML112763.1	Chromosome		NW_024590152.1	unplaced-scaffold	76572			scaffold00526
GCF_003704035.1	Primary Assembly	Un			ML112764.1	Chromosome		NW_024590153.1	unplaced-scaffold	74227			scaffold00527
GCF_003704035.1	Primary Assembly	Un			ML112765.1	Chromosome		NW_024590154.1	unplaced-scaffold	74022			scaffold00528
GCF_003704035.1	Primary Assembly	Un			ML112766.1	Chromosome		NW_024590155.1	unplaced-scaffold	73639			scaffold00530
GCF_003704035.1	Primary Assembly	Un			ML112767.1	Chromosome		NW_024590156.1	unplaced-scaffold	74287			scaffold00531
GCF_003704035.1	Primary Assembly	Un			ML112768.1	Chromosome		NW_024590157.1	unplaced-scaffold	82740			scaffold00532
GCF_003704035.1	Primary Assembly	Un			ML112769.1	Chromosome		NW_024590158.1	unplaced-scaffold	72264			scaffold00533
GCF_003704035.1	Primary Assembly	Un			ML112770.1	Chromosome		NW_024590159.1	unplaced-scaffold	84476			scaffold00534
GCF_003704035.1	Primary Assembly	Un			ML112771.1	Chromosome		NW_024590160.1	unplaced-scaffold	74312			scaffold00535
GCF_003704035.1	Primary Assembly	Un			ML112772.1	Chromosome		NW_024590161.1	unplaced-scaffold	73279			scaffold00536
GCF_003704035.1	Primary Assembly	Un			ML112773.1	Chromosome		NW_024590162.1	unplaced-scaffold	78776			scaffold00537
GCF_003704035.1	Primary Assembly	Un			ML112774.1	Chromosome		NW_024590163.1	unplaced-scaffold	78530			scaffold00538
GCF_003704035.1	Primary Assembly	Un			ML112775.1	Chromosome		NW_024590164.1	unplaced-scaffold	69830			scaffold00539
GCF_003704035.1	Primary Assembly	Un			ML112776.1	Chromosome		NW_024590165.1	unplaced-scaffold	73717			scaffold00541
GCF_003704035.1	Primary Assembly	Un			ML112777.1	Chromosome		NW_024590166.1	unplaced-scaffold	69637			scaffold00543
GCF_003704035.1	Primary Assembly	Un			ML112778.1	Chromosome		NW_024590167.1	unplaced-scaffold	70549			scaffold00544
GCF_003704035.1	Primary Assembly	Un			ML112779.1	Chromosome		NW_024590168.1	unplaced-scaffold	69392			scaffold00545
GCF_003704035.1	Primary Assembly	Un			ML112780.1	Chromosome		NW_024590169.1	unplaced-scaffold	67628			scaffold00546
GCF_003704035.1	Primary Assembly	Un			ML112781.1	Chromosome		NW_024590170.1	unplaced-scaffold	68020			scaffold00547
GCF_003704035.1	Primary Assembly	Un			ML112782.1	Chromosome		NW_024590171.1	unplaced-scaffold	69485			scaffold00548
GCF_003704035.1	Primary Assembly	Un			ML112783.1	Chromosome		NW_024590172.1	unplaced-scaffold	67754			scaffold00549
GCF_003704035.1	Primary Assembly	Un			ML112784.1	Chromosome		NW_024590173.1	unplaced-scaffold	67244			scaffold00550
GCF_003704035.1	Primary Assembly	Un			ML112785.1	Chromosome		NW_024590174.1	unplaced-scaffold	68985			scaffold00551
GCF_003704035.1	Primary Assembly	Un			ML112786.1	Chromosome		NW_024590175.1	unplaced-scaffold	65492			scaffold00552
GCF_003704035.1	Primary Assembly	Un			ML112787.1	Chromosome		NW_024590177.1	unplaced-scaffold	64773			scaffold00554
GCF_003704035.1	Primary Assembly	Un			ML112788.1	Chromosome		NW_024590178.1	unplaced-scaffold	68303			scaffold00555
GCF_003704035.1	Primary Assembly	Un			ML112789.1	Chromosome		NW_024590179.1	unplaced-scaffold	68111			scaffold00556
GCF_003704035.1	Primary Assembly	Un			ML112790.1	Chromosome		NW_024590180.1	unplaced-scaffold	63378			scaffold00557
GCF_003704035.1	Primary Assembly	Un			ML112791.1	Chromosome		NW_024590181.1	unplaced-scaffold	64290			scaffold00558
GCF_003704035.1	Primary Assembly	Un			ML112792.1	Chromosome		NW_024590182.1	unplaced-scaffold	63895			scaffold00559
GCF_003704035.1	Primary Assembly	Un			ML112793.1	Chromosome		NW_024590183.1	unplaced-scaffold	69425			scaffold00560
GCF_003704035.1	Primary Assembly	Un			ML112794.1	Chromosome		NW_024590184.1	unplaced-scaffold	74419			scaffold00561
GCF_003704035.1	Primary Assembly	Un			ML112795.1	Chromosome		NW_024590185.1	unplaced-scaffold	63980			scaffold00562
GCF_003704035.1	Primary Assembly	Un			ML112796.1	Chromosome		NW_024590186.1	unplaced-scaffold	62964			scaffold00563
GCF_003704035.1	Primary Assembly	Un			ML112797.1	Chromosome		NW_024590187.1	unplaced-scaffold	64022			scaffold00564
GCF_003704035.1	Primary Assembly	Un			ML112798.1	Chromosome		NW_024590188.1	unplaced-scaffold	64902			scaffold00566
GCF_003704035.1	Primary Assembly	Un			ML112799.1	Chromosome		NW_024590189.1	unplaced-scaffold	56317			scaffold00567
GCF_003704035.1	Primary Assembly	Un			ML112800.1	Chromosome		NW_024590190.1	unplaced-scaffold	62215			scaffold00569
GCF_003704035.1	Primary Assembly	Un			ML112801.1	Chromosome		NW_024590191.1	unplaced-scaffold	61422			scaffold00572
GCF_003704035.1	Primary Assembly	Un			ML112802.1	Chromosome		NW_024590192.1	unplaced-scaffold	61609			scaffold00573
GCF_003704035.1	Primary Assembly	Un			ML112803.1	Chromosome		NW_024590193.1	unplaced-scaffold	61388			scaffold00574
GCF_003704035.1	Primary Assembly	Un			ML112804.1	Chromosome		NW_024590194.1	unplaced-scaffold	28650			scaffold00575
GCF_003704035.1	Primary Assembly	Un			ML112805.1	Chromosome		NW_024590195.1	unplaced-scaffold	63277			scaffold00576
GCF_003704035.1	Primary Assembly	Un			ML112806.1	Chromosome		NW_024590196.1	unplaced-scaffold	60153			scaffold00577
GCF_003704035.1	Primary Assembly	Un			ML112807.1	Chromosome		NW_024590197.1	unplaced-scaffold	60272			scaffold00578
GCF_003704035.1	Primary Assembly	Un			ML112808.1	Chromosome		NW_024590198.1	unplaced-scaffold	63282			scaffold00579
GCF_003704035.1	Primary Assembly	Un			ML112809.1	Chromosome		NW_024590199.1	unplaced-scaffold	52181			scaffold00580
GCF_003704035.1	Primary Assembly	Un			ML112810.1	Chromosome		NW_024590200.1	unplaced-scaffold	60297			scaffold00581
GCF_003704035.1	Primary Assembly	Un			ML112811.1	Chromosome		NW_024590201.1	unplaced-scaffold	59768			scaffold00582
GCF_003704035.1	Primary Assembly	Un			ML112812.1	Chromosome		NW_024590202.1	unplaced-scaffold	59505			scaffold00583
GCF_003704035.1	Primary Assembly	Un			ML112813.1	Chromosome		NW_024590203.1	unplaced-scaffold	59354			scaffold00584
GCF_003704035.1	Primary Assembly	Un			ML112814.1	Chromosome		NW_024590204.1	unplaced-scaffold	59360			scaffold00585
GCF_003704035.1	Primary Assembly	Un			ML112815.1	Chromosome		NW_024590205.1	unplaced-scaffold	60838			scaffold00586
GCF_003704035.1	Primary Assembly	Un			ML112816.1	Chromosome		NW_024590206.1	unplaced-scaffold	60573			scaffold00587
GCF_003704035.1	Primary Assembly	Un			ML112817.1	Chromosome		NW_024590207.1	unplaced-scaffold	58896			scaffold00588
GCF_003704035.1	Primary Assembly	Un			ML112818.1	Chromosome		NW_024590208.1	unplaced-scaffold	62449			scaffold00589
GCF_003704035.1	Primary Assembly	Un			ML112819.1	Chromosome		NW_024590209.1	unplaced-scaffold	60680			scaffold00590
GCF_003704035.1	Primary Assembly	Un			ML112820.1	Chromosome		NW_024590210.1	unplaced-scaffold	59243			scaffold00591
